Артикул,Название товара,Ссылка,Цена,Цена со скидкой,Бренд
247663,"Сыр Радость вкуса Топленое молочко полутвердый 45%, 180г",https://online.metro-cc.ru/products/180g-syr-45-radost-vkusa-toplenoe-molochko-bzmzh,226,174,РАДОСТЬ ВКУСА
621669,"METRO Chef Сыр Чеддар полутвердый нарезка 50%, 500г",https://online.metro-cc.ru/products/metro-chef-cheddar-50-500-g,609,0,METRO CHEF
254899,"Сыр Тильзитер Oldenburger 45%, ~3кг",https://online.metro-cc.ru/products/3kg-syr-tilziter-45-oldenburger-bzmzh,2967,2217,OLDENBURGER
591767,"Сыр Le Superbe Le Gruyere полутвердый 50%, ~1.5кг",https://online.metro-cc.ru/products/lustenberger-le-gruyere-15kg-bzmzh,7123.5,0,LE SUPERBE
621693,"METRO Chef Сыр Тильзитер 45%, ~2.5кг",https://online.metro-cc.ru/products/tilziter-45-metro-chef-vesovoj,2147.5,0,METRO CHEF
516188,"Сыр Bonfesto Маскарпоне мягкий 78%, 250г",https://online.metro-cc.ru/products/maskarpone-bonfesto-78-250-g-bzmzh,309,294,BONFESTO
622810,"Сыр плавленый President Чеддер в ломтиках 40%, 150г",https://online.metro-cc.ru/products/president-chedder-40-lomtikami-150g-bzmzh,143,0,PRESIDENT
247675,"Сыр La Paulina Чеддер полутвердый 48%, 180г",https://online.metro-cc.ru/products/180g-syr-chedder-48-la-paulina-bzmzh,294,259,LA PAULINA
216582,"Сыр Стародуб сулугуни 45%, ~650г",https://online.metro-cc.ru/products/syr-starodub-suluguni-45-650g,499.85,0,СТАРОДУБ
536705,"Сыр Le Superbe Switzerland Swiss твердый 49%, 180г",https://online.metro-cc.ru/products/lesuperbe-shvejcarskij-49-180-g,439,399,LE SUPERBE
213941,"Сыр Радость вкуса легкий полутвердый нарезка 35%, 125г",https://online.metro-cc.ru/products/125g-syr-legkiy-35-radost-vkusa-narezka-bzmzh,188,149,РАДОСТЬ ВКУСА
